Family,n,1,2,3,4,5,6,total families
Target492,492,113,153,19,4,0,0,289
Target475,475,113,147,20,2,0,0,282
Target450,450,119,138,17,1,0,0,275
Target425,425,106,128,18,1,1,0,254
Target400,400,116,123,10,2,0,0,251
Target375,375,109,115,9,1,1,0,235
Target350,350,105,104,9,0,2,0,220
Target325,325,100,94,8,2,1,0,205
Target300,300,105,82,6,2,1,0,196
Target275,275,92,76,9,1,0,0,178
Target250,250,92,71,4,1,0,0,168
Target225,225,89,57,6,1,0,0,153
Target200,200,93,44,5,1,0,0,143
Target175,175,86,34,7,0,0,0,127
Target150,150,82,32,0,1,0,0,115
Target125,125,72,25,1,0,0,0,98
Target100,100,68,16,0,0,0,0,84
Target75,75,53,11,0,0,0,0,64
Target50,50,38,6,0,0,0,0,44
Target40,40,30,5,0,0,0,0,35
Target30,30,28,1,0,0,0,0,29
Target20,20,16,2,0,0,0,0,18
Target15,15,15,0,0,0,0,0,15
Target10,10,10,0,0,0,0,0,10
Target5,5,5,0,0,0,0,0,5
Target1,1,1,0,0,0,0,0,1
Target0,0,0,0,0,0,0,0,0
